t,det_idx,label,x,y,z,matched_gt,gt_dist,is_fp
1784255665.884,5,obj_2,3.2617,-0.6382,1.1339,obj_2,0.021996251550889433,0
1784255665.884,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06967719897078015,0
1784255665.884,7,obj_1,2.8890,-0.6032,1.0861,obj_1,0.01480904064203048,0
1784255666.382,0,black bowl,0.0089,0.3754,1.0277,obj_7,0.014333784708127273,0
1784255666.382,1,brown teddy bear,1.4679,0.5974,1.0844,obj_4,0.02117320621107722,0
1784255666.382,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.0077394343312420216,0
1784255666.382,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075562644052876,0
1784255666.382,4,obj_5,2.0214,0.5907,1.0278,obj_5,0.013955269319760615,0
1784255666.382,5,obj_2,3.2617,-0.6382,1.1338,obj_2,0.022028931107052455,0
1784255666.382,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.0697058848906519,0
1784255666.382,7,obj_1,2.8890,-0.6033,1.0861,obj_1,0.01484677328201515,0
1784255666.882,0,black bowl,0.0090,0.3755,1.0277,obj_7,0.0141940294076334,0
1784255666.882,1,brown teddy bear,1.4679,0.5974,1.0845,obj_4,0.021136298568800393,0
1784255666.882,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007711454332579554,0
1784255666.882,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075564524030754,0
1784255666.882,4,obj_5,2.0214,0.5907,1.0278,obj_5,0.013949924542723617,0
1784255666.882,5,obj_2,3.2617,-0.6382,1.1337,obj_2,0.022045557253069507,0
1784255666.882,6,obj_0,2.7921,-0.9331,1.1934,obj_0,0.06972023140738207,0
1784255666.882,7,obj_1,2.8890,-0.6033,1.0861,obj_1,0.014865671510428967,0
1784255667.384,0,black bowl,0.0091,0.3755,1.0277,obj_7,0.014124396984505893,0
1784255667.384,1,brown teddy bear,1.4679,0.5974,1.0845,obj_4,0.021117853189526158,0
1784255667.384,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.00769750040530769,0
1784255667.384,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075565464019855,0
1784255667.384,4,brown banana,2.0214,0.5907,1.0278,obj_5,0.01394725318678442,0
1784255667.384,5,obj_2,3.2618,-0.6382,1.1337,obj_2,0.02205394172997269,0
1784255667.384,6,obj_0,2.7921,-0.9331,1.1934,obj_0,0.06972740555430491,0
1784255667.384,7,obj_1,2.8890,-0.6033,1.0861,obj_1,0.014875128566285038,0
1784255667.888,0,black bowl,0.0091,0.3756,1.0277,obj_7,0.014089643141100512,0
1784255667.888,1,brown teddy bear,1.4679,0.5974,1.0845,obj_4,0.02110863261681061,0
1784255667.888,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007690532516992334,0
1784255667.888,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707556593401442,0
1784255667.888,4,brown banana,2.0214,0.5907,1.0278,obj_5,0.013945917767132953,0
1784255667.888,5,obj_2,3.2618,-0.6382,1.1337,obj_2,0.022058151795700205,0
1784255667.888,6,obj_0,2.7921,-0.9331,1.1934,obj_0,0.0697309928498259,0
1784255667.888,7,obj_1,2.8890,-0.6033,1.0861,obj_1,0.014879859075210014,0
1784255668.383,0,black bowl,0.0087,0.3754,1.0278,obj_7,0.014482839359814292,0
1784255668.383,1,brown teddy bear,1.4679,0.5973,1.0843,obj_4,0.021285313830108888,0
1784255668.383,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.00768457558331952,0
1784255668.383,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566169011732,0
1784255668.383,4,brown banana,2.0213,0.5915,1.0275,obj_5,0.01356458200016948,0
1784255668.383,5,obj_2,3.2617,-0.6382,1.1336,obj_2,0.022027344822961672,0
1784255668.383,6,obj_0,2.7921,-0.9331,1.1935,obj_0,0.06972864949947406,0
1784255668.383,7,obj_1,2.8876,-0.6043,1.0859,obj_1,0.014474057460750344,0
1784255668.883,0,black bowl,0.0085,0.3754,1.0279,obj_7,0.014681202730835298,0
1784255668.883,1,brown teddy bear,1.4679,0.5973,1.0842,obj_4,0.02137368024826186,0
1784255668.883,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.007681621846332774,0
1784255668.883,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566286510392,0
1784255668.883,4,brown banana,2.0213,0.5919,1.0274,obj_5,0.013388199834184187,0
1784255668.883,5,gray canned food,3.2617,-0.6382,1.1336,obj_2,0.022011972425816435,0
1784255668.883,6,obj_0,2.7921,-0.9331,1.1935,obj_0,0.06972748666305245,0
1784255668.883,7,brown scissors,2.8869,-0.6048,1.0858,obj_1,0.014346435085326908,0
1784255669.386,0,black bowl,0.0084,0.3753,1.0279,obj_7,0.014780805048789859,0
1784255669.386,1,brown teddy bear,1.4679,0.5973,1.0842,obj_4,0.02141786981703901,0
1784255669.386,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.0076801511686414746,0
1784255669.386,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566345259745,0
1784255669.386,4,brown banana,2.0212,0.5921,1.0274,obj_5,0.013303749263332807,0
1784255669.386,5,gray canned food,3.2617,-0.6382,1.1336,obj_2,0.022004294018563252,0
1784255669.386,6,obj_0,2.7921,-0.9331,1.1935,obj_0,0.06972690745465956,0
1784255669.386,7,brown scissors,2.8865,-0.6050,1.0857,obj_1,0.014302117962313185,0
1784255669.883,0,black bowl,0.0082,0.3753,1.0279,obj_7,0.014893739349317902,0
1784255669.883,1,brown teddy bear,1.4679,0.5974,1.0843,obj_4,0.021303217869873915,0
1784255669.883,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.007678723467155006,0
1784255669.883,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.0170755663746344,0
1784255669.883,4,brown banana,2.0213,0.5911,1.0275,obj_5,0.013816509951335121,0
1784255669.883,5,gray canned food,3.2616,-0.6381,1.1338,obj_2,0.022019717402465867,0
1784255669.883,6,obj_0,2.7921,-0.9331,1.1935,obj_0,0.06970937602232556,0
1784255669.883,7,brown scissors,2.8876,-0.6037,1.0859,obj_1,0.014108334538204459,0
1784255670.381,0,black bowl,0.0082,0.3753,1.0280,obj_7,0.014950253557353063,0
1784255670.381,1,brown teddy bear,1.4679,0.5974,1.0843,obj_4,0.021246000516806817,0
1784255670.381,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.007678010946535906,0
1784255670.381,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566389321728,0
1784255670.381,4,brown banana,2.0214,0.5906,1.0276,obj_5,0.014093480781352186,0
1784255670.381,5,gray canned food,3.2616,-0.6380,1.1340,obj_2,0.022028828239445474,0
1784255670.381,6,obj_0,2.7921,-0.9331,1.1935,obj_0,0.06970061409325606,0
1784255670.381,7,brown scissors,2.8882,-0.6030,1.0860,obj_1,0.014089723121658761,0
1784255670.882,0,black bowl,0.0082,0.3752,1.0280,obj_7,0.014976550612284832,0
1784255670.882,1,brown teddy bear,1.4679,0.5974,1.0842,obj_4,0.021359587716241392,0
1784255670.882,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007697487505606671,0
1784255670.882,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707556639666539,0
1784255670.882,4,brown banana,2.0214,0.5903,1.0276,obj_5,0.014250244827177955,0
1784255670.882,5,gray canned food,3.2615,-0.6381,1.1338,obj_2,0.021900239137762668,0
1784255670.882,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06968049190417283,0
1784255670.882,7,brown scissors,2.8885,-0.6027,1.0861,obj_1,0.014088683926912359,0
1784255671.384,0,black bowl,0.0081,0.3751,1.0280,obj_7,0.014990141104118062,0
1784255671.384,1,brown teddy bear,1.4679,0.5974,1.0842,obj_4,0.0214164104625498,0
1784255671.384,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007707226253190907,0
1784255671.384,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566400337222,0
1784255671.384,4,brown banana,2.0214,0.5902,1.0276,obj_5,0.014329870582242419,0
1784255671.384,5,gray canned food,3.2615,-0.6382,1.1338,obj_2,0.021836185553833362,0
1784255671.384,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06967043201038,0
1784255671.384,7,brown scissors,2.8886,-0.6026,1.0861,obj_1,0.014092898817422487,0
1784255671.886,0,black bowl,0.0081,0.3751,1.0280,obj_7,0.014997046493526716,0
1784255671.886,1,brown teddy bear,1.4679,0.5974,1.0842,obj_4,0.021444829054784106,0
1784255671.886,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007712095743478263,0
1784255671.886,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707556640217314,0
1784255671.886,4,brown banana,2.0214,0.5901,1.0276,obj_5,0.014369988386156732,0
1784255671.886,5,gray canned food,3.2615,-0.6382,1.1338,obj_2,0.021804219623575403,0
1784255671.886,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06966540236382224,0
1784255671.886,7,brown scissors,2.8887,-0.6025,1.0861,obj_1,0.014096188993799927,0
1784255672.386,0,black bowl,0.0081,0.3750,1.0280,obj_7,0.015000526679915164,0
1784255672.386,1,brown teddy bear,1.4679,0.5974,1.0841,obj_4,0.021459040147306364,0
1784255672.386,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007714530517681388,0
1784255672.386,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566403091096,0
1784255672.386,4,brown banana,2.0214,0.5901,1.0276,obj_5,0.014390122777289698,0
1784255672.386,5,gray canned food,3.2615,-0.6382,1.1338,obj_2,0.021788251952039872,0
1784255672.386,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06966288761564685,0
1784255672.386,7,brown scissors,2.8887,-0.6024,1.0861,obj_1,0.014098129544955106,0
1784255672.890,0,black bowl,0.0081,0.3750,1.0280,obj_7,0.015002273640461151,0
1784255672.890,1,brown teddy bear,1.4678,0.5974,1.0841,obj_4,0.021466146141628232,0
1784255672.890,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007715747912039563,0
1784255672.890,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566403550076,0
1784255672.890,4,brown banana,2.0214,0.5901,1.0276,obj_5,0.014400208752880811,0
1784255672.890,5,gray canned food,3.2614,-0.6382,1.1337,obj_2,0.021780271949483673,0
1784255672.890,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06966163026033766,0
1784255672.890,7,brown scissors,2.8887,-0.6024,1.0861,obj_1,0.014099173652045587,0
1784255673.388,0,black bowl,0.0087,0.3752,1.0280,obj_7,0.014493549378414631,0
1784255673.388,1,brown teddy bear,1.4678,0.5973,1.0841,obj_4,0.021524072437018052,0
1784255673.388,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007695362843346467,0
1784255673.388,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566403779562,0
1784255673.388,4,brown banana,2.0213,0.5900,1.0276,obj_5,0.01435562014730722,0
1784255673.388,5,gray canned food,3.2614,-0.6383,1.1337,obj_2,0.021745316442548977,0
1784255673.388,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06967918016482323,0
1784255673.388,7,brown scissors,2.8887,-0.6025,1.0861,obj_1,0.014165728454942014,0
1784255673.888,0,black bowl,0.0089,0.3752,1.0279,obj_7,0.014240053104257196,0
1784255673.888,1,brown teddy bear,1.4678,0.5972,1.0841,obj_4,0.021553191283114517,0
1784255673.888,2,brown bottle,1.7713,-0.9660,1.2355,obj_3,0.007685171435749215,0
1784255673.888,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707556640389431,0
1784255673.888,4,brown banana,2.0213,0.5900,1.0276,obj_5,0.014333491907894836,0
1784255673.888,5,gray canned food,3.2614,-0.6383,1.1337,obj_2,0.021727847042207572,0
1784255673.888,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06968795547910399,0
1784255673.888,7,brown scissors,2.8888,-0.6025,1.0861,obj_1,0.014199041306352593,0
1784255674.387,0,black bowl,0.0090,0.3752,1.0279,obj_7,0.014113535050884595,0
1784255674.387,1,brown teddy bear,1.4678,0.5972,1.0841,obj_4,0.021567789447075558,0
1784255674.387,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.007680076014946165,0
1784255674.387,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.01707556640395168,0
1784255674.387,4,brown banana,2.0213,0.5900,1.0276,obj_5,0.01432246952895032,0
1784255674.387,5,gray canned food,3.2614,-0.6383,1.1337,obj_2,0.02171911443619844,0
1784255674.387,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06969234322671447,0
1784255674.387,7,brown scissors,2.8888,-0.6025,1.0861,obj_1,0.014215706521879047,0
1784255674.883,0,black bowl,0.0091,0.3753,1.0279,obj_7,0.014050335358790179,0
1784255674.883,1,brown teddy bear,1.4678,0.5972,1.0841,obj_4,0.021575098191363332,0
1784255674.883,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.00767752837545798,0
1784255674.883,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566403980343,0
1784255674.883,4,brown banana,2.0213,0.5900,1.0276,obj_5,0.014316968802813758,0
1784255674.883,5,gray canned food,3.2614,-0.6383,1.1337,obj_2,0.02171474865747072,0
1784255674.883,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06969453712313217,0
1784255674.883,7,brown scissors,2.8888,-0.6025,1.0861,obj_1,0.014224041318087712,0
1784255675.890,0,black bowl,0.0092,0.3753,1.0279,obj_7,0.014002961988041022,0
1784255675.890,1,brown teddy bear,1.4678,0.5972,1.0841,obj_4,0.021580583971471137,0
1784255675.890,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.007675617676904953,0
1784255675.890,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566404001874,0
1784255675.890,4,brown banana,2.0213,0.5900,1.0276,obj_5,0.014312847842520668,0
1784255675.890,5,gray canned food,3.2614,-0.6383,1.1337,obj_2,0.02171147455296975,0
1784255675.890,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.06969618255533656,0
1784255675.890,7,brown scissors,2.8888,-0.6025,1.0861,obj_1,0.01423029337058616,0
1784255677.389,0,black bowl,0.0092,0.3753,1.0279,obj_7,0.01398914905502823,0
1784255677.389,1,brown teddy bear,1.4678,0.5972,1.0840,obj_4,0.021582184671874095,0
1784255677.389,2,brown bottle,1.7713,-0.9660,1.2356,obj_3,0.007675060394845701,0
1784255677.389,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566404008168,0
1784255677.389,4,brown banana,2.0213,0.5900,1.0276,obj_5,0.01431164663650329,0
1784255677.389,5,gray canned food,3.2614,-0.6383,1.1337,obj_2,0.021710519642899467,0
1784255677.389,6,obj_0,2.7920,-0.9331,1.1935,obj_0,0.0696966624746602,0
1784255677.389,7,brown scissors,2.8888,-0.6025,1.0861,obj_1,0.01423211703996832,0
1784255680.398,0,black bowl,0.0087,0.3753,1.0279,obj_7,0.014441563999605873,0
1784255680.398,1,brown teddy bear,1.4678,0.5972,1.0842,obj_4,0.021428451341662803,0
1784255680.398,2,brown bottle,1.7714,-0.9660,1.2355,obj_3,0.007687112788174454,0
1784255680.398,3,obj_6,-0.0139,-0.0041,1.0441,obj_6,0.017075566404009042,0
1784255680.398,4,brown banana,2.0212,0.5913,1.0275,obj_5,0.013629514587015229,0
