t,selection_mode,obj,arm,attempt,rank_J,rank_dist,node,dist,ee_dist,d_gantry_lin,d_gantry_rot,d_arm,hold,manip,J,gantry_lin,gantry_rot,ik_ms,plan_time_s,plan_ms,traj_energy,success
1784214453.8419335,fixed,target,arm_4,0,0,1,2536,0.17910783016260776,1.6520677597277178,1.2284324936789468,1.8133049624574225,6.9164517432974355,5.4370866622445355,0.1478101608823268,43.260745919779694,1.306667420515299,1.5704105082617072,49.849950009956956,0.094434357,168.00336097367108,56.506082811161455,1
1784214461.8064275,fixed,target,arm_4,0,0,3,1925,0.10347138634050082,1.470353954555521,1.141078228460108,1.350045405609792,5.614196604767137,0.835113206180595,0.061029144793944945,40.912461856529355,0.7017372150990794,-3.028372976300731,20.085592987015843,0.069593531,157.63505699578673,37.06933663828814,1
1784214469.8705237,fixed,target,arm_4,0,0,0,2210,0.04921918843564598,1.4468076646877708,1.1495603610791834,1.170734063363419,5.705584825842233,2.0224922898049567,0.10709327971390403,39.16645142879638,1.7995924941551324,0.43512217688595267,18.547362997196615,0.071339753,173.09837299399078,72.4624451149788,1
1784214477.9023037,fixed,target,arm_4,0,0,0,2390,0.04148945574475796,1.4986211287528879,1.116692648935838,1.5909555865077183,5.718332100842277,1.736509666863077,0.059267717073571764,41.249831620994904,1.3911869921150064,-1.637742687842794,11.761392990592867,0.060025956000000005,137.0328319608234,50.14969839358349,1
1784214485.9568567,fixed,target,arm_4,0,0,1,1468,0.04435480231330901,1.4755259924741417,1.208054062510904,1.5895800910117694,5.183264561390343,1.432470078639888,0.08843433228349828,42.32119868783222,0.5221921671991261,-2.863285051277939,8.402478997595608,0.075895553,160.82391497911885,25.725018080965118,1
1784214493.9820807,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214502.1499119,fixed,target,arm_4,0,0,30,193,0.18300167795078787,1.726586658796575,1.0849254763760994,1.10518586799986,9.601957294083903,8.567189098839611,0.09497948471305225,40.369308898191235,1.121789290653204,-1.2581806984740767,209.08785500796512,0.044911291,110.68844702094793,49.05139098055276,1
1784214510.1025217,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214518.154653,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214526.3468058,fixed,target,arm_4,0,0,2,447,0.17102606788985567,2.162706798528734,1.7284587063977415,1.2658249165177318,9.043839654362827,2.709312749066006,0.05922840235211643,60.40447112375276,1.8854418701433222,1.4616703425376616,219.042964046821,0.079608433,167.72621299605817,71.87759233886193,1
1784214534.1556032,fixed,target,arm_4,0,0,1,28,0.08697886712180633,2.146767887621907,1.197963349774409,1.0382865916794923,10.907767068841725,8.711495800786409,0.1198312902125516,45.82477956838185,1.6632568007971855,1.5207281220739601,14.295011991634965,0.075401065,181.0593000263907,69.23863116048315,1
1784214542.2330263,fixed,target,arm_4,0,0,3,2809,0.09825209327161748,2.010279889037824,1.4290727784574317,0.6306067002526735,6.260952325000054,0.1992080614421834,0.0851752489711801,49.836591077651974,1.8996005042374418,-0.3681968190171176,10.903518996201456,0.06726125499999999,159.73443898838013,63.17968864965299,1
1784214550.2851763,fixed,target,arm_4,0,0,0,1272,0.04421437953348936,1.993122399450708,1.5346174383426376,0.8371782732618686,5.264032451571436,1.649480046856734,0.13237494163754512,51.29267385015185,1.9449850014163075,0.11518863174765773,16.484788968227804,0.07727954,172.74522397201508,59.81675506740145,1
1784214558.3020291,fixed,target,arm_4,0,0,1,2100,0.03999932813751779,2.031046471191008,1.5586707800509827,1.2892876054986673,6.349123976456272,1.0452087608024423,0.0629024985907918,55.26141473085674,1.4310536152572952,-2.7011950084485585,11.194690014235675,0.10229732799999999,207.0007970323786,64.22004116118967,1
1784214566.374218,fixed,target,arm_4,0,0,4,2803,0.09100384324801024,2.0140658964045013,1.4268954850814832,1.0841398317981772,7.170597616440705,4.515004712516376,0.07790539477088314,51.161716953547256,1.8365260949804496,-0.4244386678760979,12.603432987816632,0.102999684,202.00055901659653,73.43629101815304,1
1784214574.4100523,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214582.5761712,fixed,target,arm_4,0,0,26,323,0.17475490254698778,2.204628306750865,1.780147471217622,1.7658064624709873,10.142791735097045,9.1771658729088,0.1250183282267181,61.37734494149972,1.563033868984391,-1.4000745508981045,209.58110399078578,0.062404845,129.86285402439535,55.782269519623625,1
1784214590.4871094,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214598.535903,fixed,target,,-1,-1,-1,-1,,,,,,,,,,,nan,nan,nan,nan,0
1784214606.6929772,fixed,target,arm_4,0,0,1,67,0.17448861582967398,2.680258416085149,1.7370047752409208,1.2248811155465005,7.817232513100874,6.787315444371763,0.10429057501284526,63.781437137276626,2.0,1.7967264771981526,163.73143199598417,0.080229222,166.77659400738776,76.09119559660273,1
1784214614.8374746,fixed,target,arm_4,0,0,1,67,0.09891614273237936,2.6674138868794794,1.7370047752409208,1.2248811155465005,7.817232513100874,6.787315444371763,0.10429057501284526,63.6682983384287,1.9999996014325616,1.4179802472815113,232.88630798924714,0.08735742599999999,187.2090160031803,67.5519668330488,1
1784214622.6315463,fixed,target,arm_4,0,0,0,2716,0.06391148075780304,2.558849294675791,1.8167445319475248,0.43088701063178214,4.927853424492412,1.2421259674651282,0.07532841639420379,63.3473913791247,2.0,1.484994616506667,17.18934701057151,0.091782334,175.16779201105237,66.89321870733494,1
1784214630.6501982,fixed,target,arm_4,0,0,0,2472,0.08675467269218223,2.545392185849759,1.8071039721212172,0.5604832567721362,4.996456002836444,1.6146902614085057,0.13982096150856893,61.5249632196825,2.0,1.7309499802598278,6.44401297904551,0.07103900299999999,164.56848999951035,64.75117856294773,1
